Name,ID,Instagram,Wikipedia,SpotifyFollowers,MonthlyListeners,Singles,TopTrackPlays,EarliestAlbum,MonthSinceRelease,Albums,AppearsOn,DiscoveredOn
Sharpay Evans,3WtcOzeKXq5mUINE0bNfnt,-1,-1,15502,1138308,1,55519513,-1,-1,0,6,91
Jbramah,48MndYyEvn0SomOag5ai79,https://instagram.com/jbramah09?igshid=1l67qb7wvzbtl,-1,113,2035,9,91360,-1,-1,0,1,11
XODERICK,6p4uhW3K5NmxiGswulf8PG,https://instagram.com/xoderick,-1,1038,10215,4,104102,2022-07-15,1,1,2,94
Christ For The Nations Worship,4FGuhMc7yWmxgyIZNGSKN7,https://instagram.com/cfnworship,-1,51259,96943,6,1784287,2012-10-09,118,33,11,92
Outside Broadcast Recordings,3RchxeOVaDXmQRBWeL5CNZ,-1,-1,3924,31939,8,51201122,2022-08-14,0,1792,0,98
Nuver,7INJXFDyMoyqqp91q0FWqh,https://instagram.com/nuvermusic,-1,1644,980042,15,4466174,2021-02-17,18,4,20,94
HLEB,1FqRk4EMtZN4Z7mwn5KnOv,https://instagram.com/hlebmusic,-1,398463,153621,38,10340408,2017-04-26,64,3,5,91
Funkadelic,450o9jw6AtiQlQkHCdH6Ru,-1,-1,630394,1203180,5,65038979,1971-07-12,613,12,30,89
Shady Moon,2urobxol2zYHXOUJXDh8n4,https://instagram.com/shadyasfc,-1,71021,1263483,26,35365536,-1,-1,0,17,93
FPI Project,6HNYPrYPF6UzZhVFu2sLeh,-1,https://it.wikipedia.org/wiki/F.P.I._Project,7604,65652,17,2521818,1991-12-30,368,7,7,93
Fluhkunxhkos,6pCLUSyfp5qxqjBW6hKjvU,-1,-1,6254,24397,4,676682,2019-04-19,40,3,32,93
CW Da Youngblood,3jvRfYPLLXt1BSq45xzqPb,https://instagram.com/dayoungmonster,-1,617,1932,45,243086,2021-06-18,14,87,75,11
Hyolyn,78sJswwVn4P8aEhkF4K6fQ,https://instagram.com/xhyolynx,https://en.wikipedia.org/wiki/Hyolyn,680081,1221750,41,45542523,2013-08-21,108,2,40,89
black midi,7Hvq85OU8T7Hsd63zNBwaL,https://instagram.com/bmblackmidi,-1,170799,565496,13,2517339,2019-06-21,38,3,4,92
BK,43tXe0vO00OOt1EDDbF4Ux,https://instagram.com/bkmusica/,-1,1562,51239,14,3115701,-1,-1,0,3,90
RJ WAYUP,1NJtqwv3Hf6zDbA0FXf0ZI,https://instagram.com/rjwayup,-1,3,1782,1,260183,-1,-1,0,0,1
Maccabeats,2plllpJj0sU7FsdZrn8EHq,-1,https://en.wikipedia.org/wiki/The_Maccabeats,24283,55563,32,1269517,2010-03-23,149,5,6,94
Sunset Shimmer,5fyTC8eAkkeidVgqku26mz,-1,-1,4500,121906,0,7647581,-1,-1,0,27,98
Hblocc Duke,4DXPF9atvqinvuPKahgVP4,-1,-1,461,1940,12,72213,-1,-1,0,1,22
Uu,7blwiSynsJ5DhX4mTkCGM6,-1,-1,1061,142161,12,3943450,-1,-1,0,4,93
WP,2nIa5NIx9qjEqhkrPtIGP9,-1,-1,7,2920,4,120482,2013-02-27,114,1,17,33
2NE1,1l0mKo96Jh9HVYONcRl3Yp,https://instagram.com/2ne1official/,-1,2237377,1481744,10,93939826,2010-09-09,143,9,21,89
lmaopay,5Lr6vtfzxLavw70fdoex8K,https://instagram.com/lmaopay,-1,4255,68688,9,1185241,-1,-1,0,1,94
Gugu Mbatha-Raw,0ZrekatCWFPF9GPKApg9EA,-1,-1,308,457505,0,43092935,-1,-1,0,1,91
EyeKeem,6c2i4ZVTRCYns5ywTK4B6v,https://instagram.com/eyekeem,-1,9758,148781,63,33808404,2020-04-12,28,1,37,89
Rittz,5sRhscbWRXFbjXtSZyfaWY,https://instagram.com/rittz,https://en.wikipedia.org/wiki/Rittz,625111,947338,31,59346118,2014-09-09,95,12,249,87
MAKJ,3PtCud9dIdOv4exrzdZZ1C,https://instagram.com/MAKJ,https://en.wikipedia.org/wiki/MAKJ,124706,1775773,55,105416046,-1,-1,0,89,92
Yiğit Suba,2PKjgPpj4dshDZE6qdcaoC,https://instagram.com/yigit_suba,-1,105,4126,2,260893,-1,-1,0,0,26
JL,6PvynaU3WF7AIp9YBD8C0K,-1,-1,2005,7499,23,2076485,-1,-1,0,24,91
Salt Lake City LDS Ensemble,7dwgF5A7mYh6TXThNIETno,-1,-1,1677,8559,0,302152,2020-12-19,20,21,0,97
WZ,39o1PEHoC5IYfzgYG1Vjx0,-1,-1,526,1093,11,246087,2016-02-29,78,1,33,28
hrlum,1QCUIMMPGwxKs9E3UmY2bL,https://instagram.com/hrlum,-1,1596,34404,1,606194,-1,-1,0,3,95
T Dot,4Lt8by3K29vseH2bTZNx0p,https://instagram.com/tdotgunplay?igshid=YmMyMTA2M2Y=,-1,2139,217308,8,6921753,-1,-1,0,2,93
Xavier,4NMSh2C4Sar5feZ8ngeB8w,https://instagram.com/Xaviers.mind,-1,24035,46375,85,552246,2020-02-21,30,3,1,93
ITSOKTOCRY,2BUUAEl4BwFRA9NBDgMWSf,https://instagram.com/itsokdontbesad,-1,188283,333909,24,16790454,2017-05-12,63,7,41,89
Tamara Gverdtsiteli,0CxDibzRJVOC7odvjLsnVV,-1,-1,6791,28875,8,565809,1994-12-30,332,12,54,93
Issues,3zRstk92RGCVDyslSySNsm,https://instagram.com/issues,https://en.wikipedia.org/wiki/Issues_(band),325059,443290,12,21044397,2014-02-14,102,5,11,88
